m1,k1,l1,f,m2,k2,l2,Damping Time (tau),best l,amp
7.88,44547.63354,118.507966,1,0.5,2826.626494,75.18811733,0.375,18.895312389019615,8.0444719196177e-05
14.76,75985.72516,211.8007262,1,0.5,2574.04218,71.75015234,0.378,18.031327164021263,5.231821868285785e-05
38.63,182745.865,531.4107551,1,0.5,2365.336073,68.77988184,0.444,6.880306068934704,2.2725206240839995e-05
77.5,353408.2587,1046.693116,1,0.5,2280.053282,67.5285611,0.396,4.261912823578992,1.2447236175498791e-05
131.83,589350.2022,1762.85517,1,0.5,2235.265881,66.86203528,0.441,4.2198465497945135,7.716575355851372e-06
3.75,24737.4215,60.89229871,1,0.5,3298.322867,81.21973734,0.318,32.35159618900345,0.0001381462491761963
3.8,24731.54693,61.29687133,1,0.5,3254.150912,80.67404678,0.318,32.13423571457384,0.00013844467300912216
3.86,24828.27836,61.9155493,1,0.5,3216.098233,80.20097547,0.321,31.94580107428862,0.00013821353983791763
3.89,24901.43243,62.2731225,1,0.5,3200.698256,80.00872772,0.321,31.869224594482873,0.00013793864143446264
3.91,24950.23221,62.49581422,1,0.5,3190.566779,79.88199771,0.321,31.818745262206956,0.0001377754226016202
3.68,1531.637261,15.02003395,1,0.5,208.1028887,20.40112197,1.2690000000000001,8.126212684155014,0.002224138347926219
3.99,1570.915125,15.83450441,1,0.5,196.856532,19.84220411,1.293,7.9035834870936155,0.002195652404713727
4.35,1619.545525,16.79483146,1,0.5,186.154658,19.2953185,1.455,7.685746998134873,0.0021590097400728983
5.24,1737.287716,19.09054632,1,0.5,165.7717286,18.20833483,1.608,4.575884952494214,0.001957990562301289
6.34,1871.214534,21.77632661,1,0.5,147.5721241,17.17976275,1.674,4.317397422065398,0.0018584913477501263
7.6,2009.58794,24.71015214,1,0.5,132.2097329,16.26097985,1.74,4.0865006988904655,0.00177406425178415
4.49,1584.319637,16.86637469,1,0.5,176.4275765,18.78443912,1.494,7.482252577390068,0.0022194709273165116
5.35,1631.859672,18.68008295,1,0.5,152.5102497,17.46483608,1.671,4.38903839161497,0.0020898190736533123
7.15,1709.296803,22.11372423,1,0.5,119.531245,15.46164577,1.839,3.885622319684617,0.0020669630390186184
9.03,1767.529876,25.26935701,1,0.5,97.86987132,13.99070201,1.992,3.5159636177664435,0.002071074530463829
10.94,1810.388562,28.14753954,1,0.5,82.74170759,12.86403573,2.142,3.2328243123182347,0.0020874935844933063
4.52,1472.867655,16.32638027,1,0.5,162.9278379,18.05147296,1.557,7.190296139150688,0.0023892445995816933
5.43,1445.598488,17.72391535,1,0.5,133.1121996,16.31638438,1.788,4.100424254091642,0.002361939755255456
7.33,1422.530257,20.42608464,1,0.5,97.03480607,13.93088698,2.037,3.5009316723268733,0.0024924234008870385
9.28,1413.236659,22.90231138,1,0.5,76.14421654,12.34051997,2.2560000000000002,3.101261052363751,0.002602026317883743
11.25,1408.8229,25.17499899,1,0.5,62.61435111,11.19056309,2.457,2.812268652326191,0.0026955686095088845
5.73,18696.47835,65.43672575,1,0.5,1631.455353,57.12189341,0.507,14.355140926019395,0.00018376324821387855
6.18,15720.57939,62.3172871,1,0.5,1271.891536,50.43593038,0.5700000000000001,12.674910531117895,0.0002205095516246359
6,12600.01472,54.99094046,1,0.5,1050.001227,45.82578372,0.63,11.516347657179056,0.00027408361192800235
5.21,8455.26896,41.99531426,1,0.5,811.4461574,40.28513764,0.726,10.123943614674525,0.00040207376608827195
4.58,6322.084741,34.01419932,1,0.5,690.1839237,37.15330197,0.756,14.798972045303422,0.0005582069384810558
4.14,5149.270068,29.21109175,1,0.5,621.8925203,35.26733674,0.726,14.04775088224984,0.0006736521803030288
4.29,13287.95378,47.77148244,1,0.5,1548.712562,55.65451575,0.504,22.168409780756534,0.0002625489641030157
3.56,10494.33928,38.66711356,1,0.5,1473.924056,54.29408911,0.47700000000000004,21.626522122122516,0.0003230734611586333
2.91,7945.01774,30.40842753,1,0.5,1365.123323,52.25176213,0.507,20.813018657240875,0.0004160658402772676
2.63,6828.795574,26.81461508,1,0.5,1298.250109,50.9558654,0.528,20.296834671861706,0.00047907574149658085
2.48,6217.04088,24.84895057,1,0.5,1253.435661,50.06866608,0.54,19.943443795705022,0.0005235718054464095
10.76,30904.98124,115.3171611,1,0.5,1436.105076,53.5930047,0.513,13.468305918981262,0.00012195476474943621
17.8,47579.66252,184.0787233,1,0.5,1336.507374,51.70120645,0.594,8.197402819891963,8.12781413124505e-05
37.87,93680.36383,376.6976497,1,0.5,1236.867756,49.73666165,0.615,4.975342292606751,4.425045275802545e-05
65.88,156585.9639,642.3876834,1,0.5,1188.418062,48.75280633,0.606,4.876923604640744,2.7927245827212196e-05
101.83,236174.1935,980.7901037,1,0.5,1159.649384,48.15909849,0.612,3.0394528786507,1.8946670283283184e-05
18.59,126783.4146,307.0750276,1,0.5,3409.989634,82.58316577,0.336,13.093842918603757,3.067502315884634e-05
11.43,70407.79484,179.4039253,1,0.5,3079.95603,78.48510725,0.34800000000000003,19.723869569250965,5.407968432697625e-05
9.64,57171.18696,148.5090789,1,0.5,2965.310527,77.0105256,0.36,19.353296639520902,6.471087417575023e-05
8.5,48849.27463,128.8711558,1,0.5,2873.486743,75.80879557,0.369,19.051293276084433,7.422617048861435e-05
8.09,45879.33376,121.8286631,1,0.5,2835.558329,75.30681681,0.372,18.92514241847986,7.843353675677233e-05
7.88,44368.40908,118.2377098,1,0.5,2815.254383,75.03671612,0.375,18.85726418059767,8.078262690031305e-05
22.55,127437.0575,339.0147864,1,0.5,2825.655377,75.17520039,0.363,11.919284712609048,3.1323006112465356e-05
31.11,160147.3548,446.3907656,1,0.5,2573.888698,71.74801319,0.41100000000000003,11.375892479688,2.6048451645501253e-05
60.57,286518.9769,833.1748896,1,0.5,2365.188847,68.77774127,0.429,6.880091939797405,1.5139209378899625e-05
106.3,484718.8269,1435.597066,1,0.5,2279.956853,67.52713311,0.438,4.261822699210964,9.256596423082852e-06
168.24,752143.992,2249.801425,1,0.5,2235.330456,66.86300108,0.441,2.662402210778018,6.149825187115535e-06
51.69,341199.961,839.8793682,1,0.5,3300.444583,81.2458563,0.33,8.127323618802642,1.2518064762178106e-05
102.85,669732.6648,1659.925159,1,0.5,3255.871,80.69536542,0.366,5.092905980590941,6.685370766415475e-06
258.49,1662652.161,4146.240844,1,0.5,3216.08604,80.20082344,0.369,2.01482513666554,2.8580111372469407e-06
487.3,3116744.047,7794.305984,1,0.5,3197.97255,79.97465286,0.405,2.0091432228121353,1.5470225567880151e-06
789.06,5030566.749,12600.65888,1,0.5,3187.69596,79.84605138,0.40800000000000003,0.7984605138,9.80788463616416e-07
